,,,,
Year,Pounds,Metric Tons,Dollars,Collection
1950,"4,910,008,722","2,227,165","326,140,141",Commercial
1951,"4,468,280,396","2,026,799","343,768,689",Commercial
1952,"4,454,820,075","2,020,693","342,260,948",Commercial
1953,"4,541,451,462","2,059,989","336,674,622",Commercial
1954,"4,783,727,020","2,169,884","341,197,698",Commercial
1955,"4,864,502,898","2,206,524","321,979,001",Commercial
1956,"5,315,091,181","2,410,910","354,343,664",Commercial
1957,"4,812,006,928","2,182,712","337,536,928",Commercial
1958,"4,814,125,255","2,183,673","358,009,337",Commercial
1959,"5,136,276,317","2,329,800","330,671,208",Commercial
1960,"5,014,090,964","2,274,377","339,456,549",Commercial
1961,"5,281,445,600","2,395,648","349,224,928",Commercial
1962,"5,483,719,015","2,487,399","388,099,068",Commercial
1963,"4,940,953,280","2,241,202","367,716,687",Commercial
1964,"4,658,198,362","2,112,945","382,500,781",Commercial
1965,"4,883,101,538","2,214,960","432,160,336",Commercial
1966,"4,406,698,497","1,998,865","455,917,488",Commercial
1967,"4,134,834,274","1,875,549","424,512,869",Commercial
1968,"4,374,304,496","1,984,172","483,437,951",Commercial
1969,"4,451,508,990","2,019,191","512,281,335",Commercial
1970,"4,937,890,925","2,239,813","594,939,566",Commercial
1971,"5,239,028,743","2,376,408","638,599,927",Commercial
1972,"5,046,139,575","2,288,914","736,701,376",Commercial
1973,"5,068,076,518","2,298,864","923,159,153",Commercial
1974,"5,220,268,416","2,367,898","915,840,018",Commercial
1975,"5,139,249,833","2,331,148","960,578,853",Commercial
1976,"5,652,017,430","2,563,738","1,333,494,123",Commercial
1977,"5,444,160,250","2,469,455","1,530,942,799",Commercial
1978,"6,227,954,386","2,824,982","1,892,389,688",Commercial
1979,"6,524,161,425","2,959,340","2,288,559,781",Commercial
1980,"6,607,280,652","2,997,043","2,247,500,796",Commercial
1981,"6,069,765,027","2,753,227","2,398,248,753",Commercial
1982,"6,486,409,525","2,942,216","2,389,066,442",Commercial
1983,"6,456,137,641","2,928,485","2,337,794,210",Commercial
1984,"6,463,104,776","2,931,645","2,355,765,438",Commercial
1985,"6,381,609,435","2,894,679","2,360,023,548",Commercial
1986,"6,130,893,979","2,780,955","2,839,063,900",Commercial
1987,"7,012,494,243","3,180,847","3,236,788,425",Commercial
1988,"7,384,392,007","3,349,538","3,589,051,075",Commercial
1989,"8,749,807,742","3,968,887","3,417,515,860",Commercial
1990,"9,804,661,004","4,447,365","3,657,082,478",Commercial
1991,"9,629,615,740","4,367,965","3,413,675,580",Commercial
1992,"9,946,918,578","4,511,893","3,775,384,293",Commercial
1993,"9,965,483,814","4,520,314","3,342,486,178",Commercial
1994,"10,086,779,651","4,575,333","3,696,414,630",Commercial
1995,"9,658,598,742","4,381,112","3,802,078,658",Commercial
1996,"9,368,642,622","4,249,588","3,539,799,079",Commercial
1997,"9,611,476,705","4,359,737","3,569,585,035",Commercial
1998,"8,986,300,614","4,076,159","3,203,965,719",Commercial
1999,"9,085,269,086","4,121,051","3,568,027,747",Commercial
2000,"8,852,853,217","4,015,628","3,655,777,874",Commercial
2001,"9,268,186,606","4,204,022","3,220,695,014",Commercial
2002,"9,225,971,729","4,184,873","3,091,217,994",Commercial
2003,"9,308,852,097","4,222,468","3,318,154,663",Commercial
2004,"9,618,098,659","4,362,741","3,754,068,104",Commercial
2005,"9,596,427,485","4,352,911","3,988,803,639",Commercial
2006,"9,629,679,655","4,367,994","4,223,172,365",Commercial
2007,"9,367,794,720","4,249,204","4,306,726,553",Commercial
2008,"8,419,002,455","3,818,834","4,543,059,134",Commercial
2009,"8,115,199,019","3,681,030","3,958,647,759",Commercial
2010,"8,313,114,120","3,770,804","4,664,312,049",Commercial
2011,"9,917,400,877","4,498,504","5,541,186,886",Commercial
2012,"9,727,779,296","4,412,492","5,571,283,505",Commercial
2013,"9,795,200,901","4,443,074","5,563,818,837",Commercial
2014,"9,561,703,450","4,337,160","5,610,579,200",Commercial
2015,"9,757,835,061","4,426,125","5,399,804,511",Commercial
2016,"9,658,130,480","4,380,899","5,520,038,291",Commercial
2017,"9,958,911,811","4,517,333","5,832,311,126",Commercial
2018,"9,425,679,701","4,275,460","5,692,645,335",Commercial
2019,"9,370,777,797","4,250,557","5,615,293,120",Commercial
2020,"8,401,030,545","3,810,682","4,931,423,028",Commercial
2021,"8,573,589,616","3,888,955","6,479,999,828",Commercial
